"Index","Open","High","Low","Close","Volume"
2072-09-03,14.6,14.87,14.6,14.81,7228
2072-09-04,14.94,15.34,14.94,15.15,17353
2072-09-05,15.11,15.25,15,15.11,6024
2072-09-06,15.11,15.3,15.08,15.14,7173
2072-09-07,15.24,15.24,15.09,15.2,6136
2072-09-08,15.26,15.35,15.17,15.26,5959
2072-09-09,15.26,15.26,15.06,15.12,14030
2072-09-10,15.06,15.2,14.93,14.98,5127
2072-09-11,14.95,15.09,14.93,15.04,8931
2072-09-12,15.05,15.15,15.03,15.13,4137
2072-09-13,15.24,15.52,15.15,15.31,13909
2072-09-14,15.45,15.55,15.34,15.45,10290
2072-09-15,15.34,15.51,15.33,15.34,6340
2072-09-16,15.3,15.42,15.24,15.37,8657
2072-09-17,15.29,15.4,15.29,15.29,4448
2072-09-18,15.14,15.14,14.72,14.73,10453
2072-09-19,14.72,14.89,14.7,14.76,12935
2072-09-20,14.64,14.89,14.63,14.64,14748
2072-09-21,15.03,15.05,14.74,15.03,17627
2072-09-22,15.16,15.27,15.04,15.26,12531
2072-09-23,15.34,15.6,15.04,15.23,20577
2072-09-24,15.23,15.23,14.87,14.97,8084
2072-09-25,15,15.2,14.85,15.17,5789
2072-09-26,15.2,15.2,14.91,15.01,9006
2072-09-27,14.95,15.25,14.92,15.2,7673
2072-09-28,15.03,15.19,15.02,15.03,5413
2072-09-29,14.91,15.1,14.87,14.91,6519
2072-09-30,15.58,15.6,15.42,15.58,7791
2072-10-01,15.6,15.64,15.39,15.42,8340
2072-10-02,15.4,15.58,15.32,15.48,13991
2072-10-03,15.39,15.52,15.36,15.39,6757
2072-10-04,15.03,15.09,14.8,14.96,11752
2072-10-05,15.14,15.14,14.88,14.89,10114
2072-10-06,14.86,14.98,14.85,14.86,8403
2072-10-07,14.81,14.97,14.77,14.92,11862
2072-10-08,15.04,15.04,14.74,14.8,11595
2072-10-09,14.8,14.97,14.72,14.92,10416
2072-10-10,14.92,15.12,14.86,14.99,10277
2072-10-11,14.97,15.04,14.87,14.98,7361
2072-10-12,15,15.04,14.9,15,8502
2072-10-13,15,15.07,14.76,14.78,9248
2072-10-14,14.75,14.86,14.68,14.79,13554
2072-10-15,14.8,14.9,14.57,14.59,11028
2072-10-16,14.59,14.7,14.5,14.62,7083
2072-10-17,14.52,14.78,14.5,14.52,6119
2072-10-18,14.6,14.7,14.47,14.49,8445
2072-10-19,14.4,14.66,14.4,14.65,6052
2072-10-20,14.65,14.84,14.58,14.65,7761
2072-10-21,14.58,14.72,14.58,14.6,5947
2072-10-22,14.67,14.69,14.6,14.6,5250
2072-10-23,14.48,14.65,14.42,14.48,5907
2072-10-24,14.55,14.55,14.38,14.51,5237
2072-10-25,14.57,14.66,14.53,14.58,6025
2072-10-26,14.66,14.66,14.48,14.55,8540
2072-10-27,14.55,15.08,14.53,15.01,19990
2072-10-28,15.07,15.2,14.92,15.07,12187
2072-10-29,15.05,15.05,14.87,15.01,6892
2072-10-30,14.95,14.99,14.84,14.96,8472
2072-10-31,14.8,14.98,14.79,14.8,6453
2072-11-01,14.78,14.78,14.35,14.41,18396
2072-11-02,14.41,14.53,14.41,14.51,6498
2072-11-03,14.45,14.62,14.44,14.51,9179
2072-11-04,14.51,14.52,14.4,14.41,4969
2072-11-05,14.41,14.5,14.35,14.47,7465
2072-11-06,14.45,14.57,14.45,14.49,6854
2072-11-07,15.08,15.08,14.87,14.97,11663
2072-11-08,15.01,15.35,14.98,15.33,14151
2072-11-09,15.33,15.49,15.15,15.16,16040
2072-11-10,15.11,15.16,14.95,15.05,15738
2072-11-11,15.04,15.09,14.95,15.05,8400
2072-11-12,15.1,15.35,15.06,15.29,12672
2072-11-13,15.3,16.1,15.2,15.87,31940
2072-11-14,15.92,16.24,15.92,16.14,22866
2072-11-15,16.1,16.13,15.79,15.96,14976
2072-11-16,15.96,16.35,15.93,15.99,13349
2072-11-17,16.05,16.15,15.92,16.05,12115
2072-11-18,16.05,16.25,16,16.07,15632
2072-11-19,16.15,16.45,16.05,16.39,14468
2072-11-20,16.39,16.75,16.24,16.32,17887
2072-11-21,16.33,16.38,16.12,16.3,6743
2072-11-22,16.3,16.47,16.25,16.41,8930
2072-11-23,16.25,16.29,16.11,16.15,5056
2072-11-24,15.95,16.09,15.84,15.86,4898
2072-11-25,15.87,15.9,15.66,15.69,7818
2072-11-26,15.65,15.69,15.55,15.64,9418
2072-11-27,15.68,15.69,15.43,15.59,15277
2072-11-28,15.62,15.62,15.5,15.56,5809
2072-11-29,15.73,15.73,15.5,15.51,5067
2072-11-30,15.52,15.58,15.14,15.17,13601
2072-12-01,15.19,15.48,15.1,15.36,9560
2072-12-02,15.39,15.39,15.16,15.32,6923
2072-12-03,15.15,15.34,15.08,15.15,5500
2072-12-04,15.09,15.17,15.01,15.09,6500
2072-12-05,14.93,15.08,14.91,14.93,6970
2072-12-06,15.24,15.28,14.95,15.01,16207
2072-12-07,15.05,15.2,14.95,14.96,5
2072-12-08,15,15,14.85,14.87,7784
2072-12-09,14.9,15.11,14.87,15.06,10
2072-12-10,15.1,15.34,15.02,15.18,17
2072-12-11,15.09,15.31,15.09,15.18,74
2072-12-12,15.22,15.22,14.99,15.01,13311
2072-12-13,15.05,15.38,14.93,15.29,2
2072-12-14,15.32,15.37,15.13,15.2,15
2072-12-15,15.21,15.3,15.18,15.2,1
2072-12-16,15.21,15.25,14.88,14.92,14153
2072-12-17,14.89,14.95,14.77,14.87,3
2072-12-18,14.9,14.9,14.76,14.87,11
2072-12-19,14.8,15.1,14.8,15.09,15162
2072-12-20,15.12,15.15,14.81,14.83,2
2072-12-21,14.75,14.93,14.75,14.76,7089
2072-12-22,14.75,14.88,14.65,14.66,1
2072-12-23,14.75,14.75,14.65,14.65,16
2072-12-24,14.65,14.65,14.59,14.59,10125
2072-12-25,14.58,14.8,14.52,14.78,10585
2072-12-26,14.8,14.86,14.69,14.71,4
2072-12-27,14.7,14.79,14.6,14.63,7154
2072-12-28,14.63,14.82,14.58,14.65,4
2072-12-29,14.73,14.77,14.63,14.67,8
2072-12-30,14.7,14.77,14.59,14.62,8981
2072-12-31,14.6,14.69,14.5,14.53,7708
2073-01-01,14.52,14.82,14.49,14.74,11248
2073-01-02,14.75,14.9,14.69,14.8,23
2073-01-03,14.87,15.02,14.86,15.01,1
2073-01-04,15.05,15.37,15,15.34,74
2073-01-05,15.25,15.33,14.98,15,9481
2073-01-06,15,15.14,14.88,14.92,10146
2073-01-07,14.97,15.13,14.86,14.98,1
2073-01-08,15.04,15.25,14.97,15.13,14
2073-01-09,15.12,15.23,15.05,15.09,11176
2073-01-10,15.23,15.65,15.19,15.58,15922
2073-01-11,15.58,15.7,15.4,15.52,53
2073-01-12,15.12,15.2,15.01,15.15,6343
2073-01-13,15.15,15.25,15.13,15.19,29
2073-01-14,15.18,15.26,15.13,15.17,4081
2073-01-15,15.17,15.21,15.06,15.09,4490
2073-01-16,15.08,15.1,14.88,14.9,5729
2073-01-17,14.93,15.38,14.9,15.23,10521
2073-01-18,15.23,15.3,15.09,15.1,10333
2073-01-19,15.14,15.17,15.02,15.03,20
2073-01-20,15.45,15.47,15.13,15.31,16997
2073-01-21,15.26,15.82,15.19,15.7,9804
2073-01-22,15.63,16.6,15.6,15.86,10349
2073-01-23,15.9,16.16,15.8,16.11,13391
2073-01-24,16.32,16.4,16.01,16.11,10789
2073-01-25,16.13,16.73,16.08,16.49,11064
2073-01-26,16.42,16.78,16.42,16.58,7605
2073-01-27,16.6,17.42,16.6,17,9
2073-01-28,16.86,18.27,16.75,18.19,56
2073-01-29,18.16,18.7,17.85,18.32,105
2073-01-30,18.32,18.38,17.73,18,20
2073-01-31,17.98,19,17.75,18.69,52
2073-02-01,17.15,17.9,17.15,17.83,10
2073-02-02,18.05,18.06,17.63,17.67,3627
2073-02-03,17.89,17.89,17.55,17.82,3483
2073-02-04,17.94,18.15,17.92,17.93,3
2073-02-05,18.12,18.37,18.12,18.35,7729
2073-02-06,18.39,18.51,18.23,18.41,8
2073-02-07,18.32,19.02,18.28,19.01,11607
2073-02-08,19.21,19.21,18.77,18.8,15
2073-02-09,18.98,19.04,18.3,18.37,12113
2073-02-10,18.4,18.4,17.87,18.06,8717
2073-02-11,18.18,18.39,18.06,18.29,5373
2073-02-12,18.42,18.79,18.42,18.78,9
2073-02-13,18.78,18.95,18.74,18.9,5257
2073-02-14,18.92,18.94,18.68,18.72,4867
2073-02-15,18.7,19.38,18.7,19.1,4798
2073-02-16,19.09,19.39,18.96,19.3,6504
2073-02-17,19.3,19.3,18.9,18.95,5500
2073-02-18,18.92,19,18.73,18.88,4519
2073-02-19,18.76,18.83,18.32,18.49,1
2073-02-20,18.1,18.26,17.85,17.94,2329
2073-02-21,17.88,18.12,17.77,17.92,12
2073-02-22,17.73,17.97,17.41,17.47,13
2073-02-23,17.5,17.52,17.1,17.3,2
2073-02-24,17.25,17.65,17.14,17.45,2956
2073-02-25,17.35,17.64,17.3,17.59,2239
2073-02-26,17.72,17.74,17.32,17.34,4404
2073-02-27,17.16,17.43,17.16,17.31,2773
2073-02-28,17.15,17.15,16.82,16.88,10169
2073-03-01,16.92,17.08,16.76,16.82,10470
2073-03-02,16.78,16.79,16.53,16.67,9443
2073-03-03,16.7,16.82,16.65,16.67,5236
2073-03-04,16.63,16.63,16.28,16.33,5608
2073-03-05,16.35,16.42,16.22,16.41,4171
2073-03-06,16.37,16.37,16.22,16.25,2654
2073-03-07,16.25,16.45,16.24,16.26,4501
2073-03-08,16.25,16.38,16,16.25,4457
2073-03-09,16.53,16.68,16.49,16.56,3
2073-03-10,16.62,16.78,16.56,16.68,11854
2073-03-11,16.73,16.94,16.71,16.81,5
2073-03-12,16.78,16.92,16.63,16.66,5
2073-03-13,16.61,16.69,16.57,16.62,67
2073-03-14,16.66,16.7,16.31,16.32,14815
2073-03-15,16.32,16.32,15.5,15.55,34094
2073-03-16,15.55,15.72,15.4,15.57,396
2073-03-17,15.65,15.66,15.24,15.45,18416
2073-03-18,15.48,15.48,15.28,15.3,21
2073-03-19,15.36,15.54,15.28,15.42,16
2073-03-20,15.48,15.48,15.22,15.29,55
2073-03-21,15.25,15.57,15.24,15.49,58
2073-03-22,15.55,15.68,15.44,15.49,14
2073-03-23,15.49,15.49,15.38,15.43,10589
2073-03-24,15.43,15.43,14.95,15.03,24
2073-03-25,15,15.08,14.92,14.95,16
2073-03-26,14.96,15,14.88,14.91,20
2073-03-27,14.9,15.28,14.84,15.24,21
2073-03-28,14.8,15.05,14.8,14.98,2
2073-03-29,14.98,15.32,14.92,15.17,13673
2073-03-30,15.15,15.35,15.04,15.13,27
2073-03-31,15.1,15.2,15.02,15.05,9
2073-04-01,15.05,15.27,15.05,15.22,2
2073-04-02,15.22,15.8,15.22,15.69,18
2073-04-03,15.65,15.93,15.47,15.51,116
2073-04-04,15.51,15.71,15.39,15.68,4
2073-04-05,15.6,15.88,15.59,15.86,31
2073-04-06,15.86,16.16,15.86,16.13,73
2073-04-07,16,16.22,15.82,15.84,10406
2073-04-08,15.86,16.25,15.86,15.92,329
2073-04-09,15.93,16.12,15.79,15.81,149
2073-04-10,15.8,16.08,15.68,15.94,60
2073-04-11,16.24,16.29,16.08,16.19,8027
2073-04-12,16.19,16.34,16.06,16.09,20
2073-04-13,15.91,16.06,15.82,15.87,7094
2073-04-14,16.1,16.22,16.05,16.12,7
2073-04-15,16.15,16.24,16.1,16.11,9432
2073-04-16,16.18,16.47,16.12,16.46,8940
2073-04-17,16.8,16.8,16.33,16.42,115
2073-04-18,16.46,16.52,16.16,16.26,17
2073-04-19,16.17,16.23,15.95,15.96,16622
2073-04-20,16,16.14,15.93,15.95,21
2073-04-21,15.95,16.52,15.93,16.29,38
2073-04-22,16.4,16.88,16.36,16.8,16763
2073-04-23,16.75,16.98,16.52,16.73,140
2073-04-24,16.7,16.8,16.33,16.51,5
2073-04-25,16.6,16.71,16.45,16.5,21
2073-04-26,16.47,16.66,16.4,16.56,17787
2073-04-27,16.55,16.7,16.44,16.46,26
