"","sdLow","sdHigh","nMA","PD Ratio"
"1",2.2,2.8,10,-27720.87
"2",2.1,2.8,10,-27246.9
"3",2.4,2.8,10,-26813.5
"4",2.2,3,10,-26604.43
"5",2.3,2.8,10,-26474.69
"6",2.2,3.2,10,-26234.69
"7",2.2,3.6,10,-26190.11
"8",2.1,3,10,-26098.27
"9",2,2.8,10,-25998.9
"10",2.1,3.2,10,-25734.06
"11",2.2,2.6,10,-25711.1
"12",2.4,3,10,-25618.91
"13",2.1,3.6,10,-25492.16
"14",2.3,3,10,-25267.75
"15",2.4,3.2,10,-25239.83
"16",2.1,2.6,10,-25194.06
"17",2.4,3.6,10,-25184.35
"18",1.8,2.8,10,-24916.12
"19",2.3,3.2,10,-24903.96
"20",2.3,3.6,10,-24851.12
"21",2,3,10,-24844.27
"22",2.4,2.6,10,-24807.88
"23",2.2,2.4,10,-24589.3
"24",2.2,3.4,10,-24570.08
"25",2,3.2,10,-24512.39
"26",2.3,2.6,10,-24481.22
"27",2,3.6,10,-24250.93
"28",1.9,2.8,10,-24194.19
"29",2.1,2.4,10,-24061.19
"30",2.1,3.4,10,-24059.03
"31",2.4,2.4,10,-23969.34
"32",2,2.6,10,-23955.78
"33",1.8,3,10,-23781.46
"34",2.4,3.4,10,-23614.35
"35",1.8,3.2,10,-23441.67
"36",2.3,2.4,10,-23356.85
"37",1.7,2.8,10,-23280.44
"38",2.3,3.4,10,-23229.04
"39",2.4,3.8,10,-23108.85
"40",1.9,3,10,-23083.88
"41",2,2.4,10,-22849.2
"42",2,3.4,10,-22833.4
"43",1.8,2.6,10,-22807.72
"44",1.9,3.2,10,-22751.01
"45",1.8,3.6,10,-22708.45
"46",2.4,4,10,-22512.58
"47",2.1,4.2,20,-22329.39
"48",1.7,3,10,-22118.7
"49",2.1,3.8,20,-22096
"50",1.9,2.6,10,-22093.25
"51",2.2,3.8,10,-22006.9
"52",1.9,3.6,10,-22004
"53",2.1,3.4,20,-21912.61
"54",2.1,3.6,20,-21867.65
"55",1.7,3.2,10,-21794.83
"56",1.8,2.4,10,-21793.81
"57",1.8,3.4,10,-21746.46
"58",2.1,4.4,20,-21623.22
"59",2.4,4.2,10,-21546.68
"60",2.2,4,10,-21443.12
"61",2.1,4,20,-21402.97
"62",2.1,3.8,10,-21316.38
"63",1.7,2.6,10,-21145.98
"64",1.9,3.4,10,-21046.27
"65",1.7,3.6,10,-21045.41
"66",2.1,3.2,20,-21000.25
"67",1.9,2.4,10,-20863.24
"68",2.1,4,10,-20756.06
"69",2.2,4.2,20,-20725.3
"70",2.3,3.8,10,-20676.95
"71",2.2,3.8,20,-20550.85
"72",2.4,4.4,10,-20527.78
"73",2.2,4.2,10,-20469.27
"74",2.2,3.4,20,-20353.23
"75",2.2,3.6,20,-20302.67
"76",1.7,2.4,10,-20097.91
"77",2.2,4.4,20,-20062.94
"78",1.7,3.4,10,-20050.77
"79",2.3,4,10,-20047.49
"80",2,3.8,10,-20047.37
"81",2.1,3,20,-19985.36
"82",2.2,4,20,-19819.88
"83",2.1,4.2,10,-19757.6
"84",2.3,4.2,20,-19648.48
"85",2,4,10,-19497.1
"86",1.9,4.2,20,-19487.46
"87",2.2,4.4,10,-19462.67
"88",2.3,3.8,20,-19433.95
"89",2.2,3.2,20,-19385.87
"90",2.3,3.4,20,-19236.19
"91",1.9,3.4,20,-19221.78
"92",2.3,3.6,20,-19197.42
"93",1.9,3.8,20,-19152.43
"94",2.3,4.2,10,-19068.89
"95",1.9,3.6,20,-18961.96
"96",2.3,4.4,20,-18949.59
"97",1.9,3.2,20,-18823.85
"98",2,4.2,20,-18782.23
"99",2.1,4.4,10,-18773.33
"100",2.3,4,20,-18711.22
"101",1.9,4.4,20,-18689.32
"102",2.1,2.8,20,-18642.02
"103",1.9,4,20,-18547.23
